func_name,func_text,query,response
,4035f0  push    r15\n4035f2  push    r14\n4035f4  lea     rax,  [default_quoting_options]\n4035fb  push    r13\n4035fd  push    r12\n4035ff  mov     r12, rdx\n403602  push    rbp\n403603  push    rbx\n403604  mov     rbx, rcx\n403607  mov     r14, rdi\n40360a  mov     r15, rsi\n40360d  sub     rsp, 0x38\n403611  test    rcx, rcx\n403614  cmove   rbx, rax\n403618  xor     ebp, ebp\n40361a  call    __errno_location\n40361f  test    r12, r12\n403622  mov     r13, rax\n403625  mov     eax, dword  ptr  [rax]\n403627  sete    bpl\n40362b  or      ebp, dword  ptr  [rbx+0x4]\n40362e  lea     r10,  [rbx+0x8]\n403632  sub     rsp, 0x8\n403636  mov     r8d, dword  ptr  [rbx]\n403639  mov     rcx, r15\n40363c  mov     dword  ptr  [rsp+0x14], eax\n403640  push    qword  ptr  [rbx+0x30]\n403643  mov     rdx, r14\n403646  push    qword  ptr  [rbx+0x28]\n403649  push    r10\n40364b  xor     esi, esi\n40364d  mov     r9d, ebp\n403650  xor     edi, edi\n403652  mov     qword  ptr  [rsp+0x40], r10\n403657  call    quotearg_buffer_restyled\n40365c  lea     rsi,  [rax+0x1]\n403660  mov     qword  ptr  [rsp+0x48], rax\n403665  add     rsp, 0x20\n403669  mov     rdi, rsi\n40366c  mov     qword  ptr  [rsp+0x18], rsi\n403671  call    xmalloc\n403676  mov     qword  ptr  [rsp+0x10], rax\n40367b  sub     rsp, 0x8\n40367f  push    qword  ptr  [rbx+0x30]\n403682  push    qword  ptr  [rbx+0x28]\n403685  mov     r10, qword  ptr  [rsp+0x38]\n40368a  mov     r9d, ebp\n40368d  mov     r8d, dword  ptr  [rbx]\n403690  mov     rcx, r15\n403693  mov     rdx, r14\n403696  mov     rdi, rax\n403699  push    r10\n40369b  mov     rsi, qword  ptr  [rsp+0x38]\n4036a0  call    quotearg_buffer_restyled\n4036a5  mov     eax, dword  ptr  [rsp+0x2c]\n4036a9  add     rsp, 0x20\n4036ad  test    r12, r12\n4036b0  mov     dword  ptr  [r13], eax\n4036b4  je      0x4036bf\n4036bf  mov     rax, qword  ptr  [rsp+0x10]\n4036c4  add     rsp, 0x38\n4036c8  pop     rbx\n4036c9  pop     rbp\n4036ca  pop     r12\n4036cc  pop     r13\n4036ce  pop     r14\n4036d0  pop     r15\n4036d2  ret     \n4036b6  mov     r11, qword  ptr  [rsp+0x28]\n4036bb  mov     qword  ptr  [r12], r11\n\n4036bf  mov     rax, qword  ptr  [rsp+0x10]\n4036c4  add     rsp, 0x38\n4036c8  pop     rbx\n4036c9  pop     rbp\n4036ca  pop     r12\n4036cc  pop     r13\n4036ce  pop     r14\n4036d0  pop     r15\n4036d2  ret     \n,Name the following assembly function:\n4035f0  push    r15\n4035f2  push    r14\n4035f4  lea     rax,  [default_quoting_options]\n4035fb  push    r13\n4035fd  push    r12\n4035ff  mov     r12, rdx\n403602  push    rbp\n403603  push    rbx\n403604  mov     rbx, rcx\n403607  mov     r14, rdi\n40360a  mov     r15, rsi\n40360d  sub     rsp, 0x38\n403611  test    rcx, rcx\n403614  cmove   rbx, rax\n403618  xor     ebp, ebp\n40361a  call    __errno_location\n40361f  test    r12, r12\n403622  mov     r13, rax\n403625  mov     eax, dword  ptr  [rax]\n403627  sete    bpl\n40362b  or      ebp, dword  ptr  [rbx+0x4]\n40362e  lea     r10,  [rbx+0x8]\n403632  sub     rsp, 0x8\n403636  mov     r8d, dword  ptr  [rbx]\n403639  mov     rcx, r15\n40363c  mov     dword  ptr  [rsp+0x14], eax\n403640  push    qword  ptr  [rbx+0x30]\n403643  mov     rdx, r14\n403646  push    qword  ptr  [rbx+0x28]\n403649  push    r10\n40364b  xor     esi, esi\n40364d  mov     r9d, ebp\n403650  xor     edi, edi\n403652  mov     qword  ptr  [rsp+0x40], r10\n403657  call    quotearg_buffer_restyled\n40365c  lea     rsi,  [rax+0x1]\n403660  mov     qword  ptr  [rsp+0x48], rax\n403665  add     rsp, 0x20\n403669  mov     rdi, rsi\n40366c  mov     qword  ptr  [rsp+0x18], rsi\n403671  call    xmalloc\n403676  mov     qword  ptr  [rsp+0x10], rax\n40367b  sub     rsp, 0x8\n40367f  push    qword  ptr  [rbx+0x30]\n403682  push    qword  ptr  [rbx+0x28]\n403685  mov     r10, qword  ptr  [rsp+0x38]\n40368a  mov     r9d, ebp\n40368d  mov     r8d, dword  ptr  [rbx]\n403690  mov     rcx, r15\n403693  mov     rdx, r14\n403696  mov     rdi, rax\n403699  push    r10\n40369b  mov     rsi, qword  ptr  [rsp+0x38]\n4036a0  call    quotearg_buffer_restyled\n4036a5  mov     eax, dword  ptr  [rsp+0x2c]\n4036a9  add     rsp, 0x20\n4036ad  test    r12, r12\n4036b0  mov     dword  ptr  [r13], eax\n4036b4  je      0x4036bf\n4036bf  mov     rax, qword  ptr  [rsp+0x10]\n4036c4  add     rsp, 0x38\n4036c8  pop     rbx\n4036c9  pop     rbp\n4036ca  pop     r12\n4036cc  pop     r13\n4036ce  pop     r14\n4036d0  pop     r15\n4036d2  ret     \n4036b6  mov     r11, qword  ptr  [rsp+0x28]\n4036bb  mov     qword  ptr  [r12], r11\n\n4036bf  mov     rax, qword  ptr  [rsp+0x10]\n4036c4  add     rsp, 0x38\n4036c8  pop     rbx\n4036c9  pop     rbp\n4036ca  pop     r12\n4036cc  pop     r13\n4036ce  pop     r14\n4036d0  pop     r15\n4036d2  ret     \n,\nquotearg_buffer_restyledsub_4036d3
,4036d3  nop     dword  ptr  [rax]\n,Name the following assembly function:\n4036d3  nop     dword  ptr  [rax]\n,\nNo-Operation (NOP) Instructionquotearg_alloc
,4036e0  mov     rcx, rdx\n4036e3  xor     edx, edx\n4036e5  jmp     quotearg_alloc_mem\n,Name the following assembly function:\n4036e0  mov     rcx, rdx\n4036e3  xor     edx, edx\n4036e5  jmp     quotearg_alloc_mem\n,\nquotearg_alloc_mem()sub_4036ea
,4036ea  nop     word  ptr  [rax+rax]\n,Name the following assembly function:\n4036ea  nop     word  ptr  [rax+rax]\n,\nNo Operation (NOP) Word Pointer on RAX and RAXquotearg_free
,4036f0  mov     eax,  [nslots]\n4036f6  push    r12\n4036f8  mov     r12,  [slotvec]\n4036ff  push    rbp\n403700  push    rbx\n403701  cmp     eax, 0x1\n403704  jle     0x403731\n403731  mov     rdi, qword  ptr  [r12+0x8]\n403736  lea     rbx,  [slot0]\n40373d  cmp     rdi, rbx\n403740  je      0x403759\n403706  sub     eax, 0x2\n403709  lea     rbx,  [r12+0x18]\n40370e  shl     rax, 0x4\n403712  lea     rbp,  [r12+rax+0x28]\n403717  nop     word  ptr  [rax+rax]\n\n403720  mov     rdi, qword  ptr  [rbx]\n403723  add     rbx, 0x10\n403727  call    free\n403759  lea     rbx,  [slotvec0]\n403760  cmp     r12, rbx\n403763  je      0x403774\n403742  call    free\n40372c  cmp     rbx, rbp\n40372f  jne     0x403720\n403774  pop     rbx\n403775  mov      [nslots], 0x1\n40377f  pop     rbp\n403780  pop     r12\n403782  ret     \n403765  mov     rdi, r12\n403768  call    free\n403747  mov      [slotvec0], 0x100\n403752  mov      [0x607078], rbx\n\n403759  lea     rbx,  [slotvec0]\n403760  cmp     r12, rbx\n403763  je      0x403774\n403720  mov     rdi, qword  ptr  [rbx]\n403723  add     rbx, 0x10\n403727  call    free\n40376d  mov      [slotvec], rbx\n\n403774  pop     rbx\n403775  mov      [nslots], 0x1\n40377f  pop     rbp\n403780  pop     r12\n403782  ret     \n,Name the following assembly function:\n4036f0  mov     eax,  [nslots]\n4036f6  push    r12\n4036f8  mov     r12,  [slotvec]\n4036ff  push    rbp\n403700  push    rbx\n403701  cmp     eax, 0x1\n403704  jle     0x403731\n403731  mov     rdi, qword  ptr  [r12+0x8]\n403736  lea     rbx,  [slot0]\n40373d  cmp     rdi, rbx\n403740  je      0x403759\n403706  sub     eax, 0x2\n403709  lea     rbx,  [r12+0x18]\n40370e  shl     rax, 0x4\n403712  lea     rbp,  [r12+rax+0x28]\n403717  nop     word  ptr  [rax+rax]\n\n403720  mov     rdi, qword  ptr  [rbx]\n403723  add     rbx, 0x10\n403727  call    free\n403759  lea     rbx,  [slotvec0]\n403760  cmp     r12, rbx\n403763  je      0x403774\n403742  call    free\n40372c  cmp     rbx, rbp\n40372f  jne     0x403720\n403774  pop     rbx\n403775  mov      [nslots], 0x1\n40377f  pop     rbp\n403780  pop     r12\n403782  ret     \n403765  mov     rdi, r12\n403768  call    free\n403747  mov      [slotvec0], 0x100\n403752  mov      [0x607078], rbx\n\n403759  lea     rbx,  [slotvec0]\n403760  cmp     r12, rbx\n403763  je      0x403774\n403720  mov     rdi, qword  ptr  [rbx]\n403723  add     rbx, 0x10\n403727  call    free\n40376d  mov      [slotvec], rbx\n\n403774  pop     rbx\n403775  mov      [nslots], 0x1\n40377f  pop     rbp\n403780  pop     r12\n403782  ret     \n,\nfree_slotvec_and_slots()sub_403783
,403783  nop     dword  ptr  [rax]\n,Name the following assembly function:\n403783  nop     dword  ptr  [rax]\n,\nNo Operation (NOP) Functionquotearg_n
,403790  lea     rcx,  [default_quoting_options]\n403797  mov     rdx, -0x1\n40379e  jmp     quotearg_n_options\n,Name the following assembly function:\n403790  lea     rcx,  [default_quoting_options]\n403797  mov     rdx, -0x1\n40379e  jmp     quotearg_n_options\n,\nquotearg_n_options()sub_4037a3
,4037a3  nop     dword  ptr  [rax]\n,Name the following assembly function:\n4037a3  nop     dword  ptr  [rax]\n,\nNo Operation (NOP)quotearg_n_mem
,4037b0  lea     rcx,  [default_quoting_options]\n4037b7  jmp     quotearg_n_options\n,Name the following assembly function:\n4037b0  lea     rcx,  [default_quoting_options]\n4037b7  jmp     quotearg_n_options\n,\nquotearg_n_options()sub_4037bc
,4037bc  nop     dword  ptr  [rax]\n,Name the following assembly function:\n4037bc  nop     dword  ptr  [rax]\n,\nNo Operation (NOP)quotearg
,4037c0  lea     rcx,  [default_quoting_options]\n4037c7  mov     rsi, rdi\n4037ca  mov     rdx, -0x1\n4037d1  xor     edi, edi\n4037d3  jmp     quotearg_n_options\n,Name the following assembly function:\n4037c0  lea     rcx,  [default_quoting_options]\n4037c7  mov     rsi, rdi\n4037ca  mov     rdx, -0x1\n4037d1  xor     edi, edi\n4037d3  jmp     quotearg_n_options\n,\nquotearg_n_options()sub_4037d8
,4037d8  nop     dword  ptr  [rax+rax]\n,Name the following assembly function:\n4037d8  nop     dword  ptr  [rax+rax]\n,\nNo Operation (NOP)quotearg_mem
,4037e0  lea     rcx,  [default_quoting_options]\n4037e7  mov     rdx, rsi\n4037ea  mov     rsi, rdi\n4037ed  xor     edi, edi\n4037ef  jmp     quotearg_n_options\n,Name the following assembly function:\n4037e0  lea     rcx,  [default_quoting_options]\n4037e7  mov     rdx, rsi\n4037ea  mov     rsi, rdi\n4037ed  xor     edi, edi\n4037ef  jmp     quotearg_n_options\n,\nquotearg_n_options()sub_4037f4
,4037f4  nop     \n,Name the following assembly function:\n4037f4  nop     \n,\nNOP (No Operation)quotearg_n_style
,403800  sub     rsp, 0x48\n403804  mov     rax, rdx\n403810  mov     qword  ptr  [rsp+0x38], rdx\n403815  xor     edx, edx\n403817  cmp     esi, 0xa\n40381a  je      0x403884\n403884  call    abort\n40381c  mov     dword  ptr  [rsp], esi\n40381f  mov     rcx, rsp\n403822  mov     rdx, -0x1\n403829  mov     rsi, rax\n40382c  mov     qword  ptr  [rsp+0x4], 0x0\n403835  mov     qword  ptr  [rsp+0xc], 0x0\n40383e  mov     qword  ptr  [rsp+0x14], 0x0\n403847  mov     qword  ptr  [rsp+0x1c], 0x0\n403850  mov     qword  ptr  [rsp+0x24], 0x0\n403859  mov     qword  ptr  [rsp+0x2c], 0x0\n403862  mov     dword  ptr  [rsp+0x34], 0x0\n40386a  call    quotearg_n_options\n40386f  mov     rcx, qword  ptr  [rsp+0x38]\n40387d  jne     0x403889\n40387f  add     rsp, 0x48\n403883  ret     \n403889  call    __stack_chk_fail\n,Name the following assembly function:\n403800  sub     rsp, 0x48\n403804  mov     rax, rdx\n403810  mov     qword  ptr  [rsp+0x38], rdx\n403815  xor     edx, edx\n403817  cmp     esi, 0xa\n40381a  je      0x403884\n403884  call    abort\n40381c  mov     dword  ptr  [rsp], esi\n40381f  mov     rcx, rsp\n403822  mov     rdx, -0x1\n403829  mov     rsi, rax\n40382c  mov     qword  ptr  [rsp+0x4], 0x0\n403835  mov     qword  ptr  [rsp+0xc], 0x0\n40383e  mov     qword  ptr  [rsp+0x14], 0x0\n403847  mov     qword  ptr  [rsp+0x1c], 0x0\n403850  mov     qword  ptr  [rsp+0x24], 0x0\n403859  mov     qword  ptr  [rsp+0x2c], 0x0\n403862  mov     dword  ptr  [rsp+0x34], 0x0\n40386a  call    quotearg_n_options\n40386f  mov     rcx, qword  ptr  [rsp+0x38]\n40387d  jne     0x403889\n40387f  add     rsp, 0x48\n403883  ret     \n403889  call    __stack_chk_fail\n,\nquotearg_n_optionssub_40388e
,40388e  nop     \n,Name the following assembly function:\n40388e  nop     \n,\nNOP (No Operation)quotearg_n_style_mem
,403890  sub     rsp, 0x48\n403894  mov     rax, rdx\n403897  mov     rdx, rcx\n4038a3  mov     qword  ptr  [rsp+0x38], rcx\n4038a8  xor     ecx, ecx\n4038aa  cmp     esi, 0xa\n4038ad  je      0x403910\n403910  call    abort\n4038af  mov     dword  ptr  [rsp], esi\n4038b2  mov     rcx, rsp\n4038b5  mov     rsi, rax\n4038b8  mov     qword  ptr  [rsp+0x4], 0x0\n4038c1  mov     qword  ptr  [rsp+0xc], 0x0\n4038ca  mov     qword  ptr  [rsp+0x14], 0x0\n4038d3  mov     qword  ptr  [rsp+0x1c], 0x0\n4038dc  mov     qword  ptr  [rsp+0x24], 0x0\n4038e5  mov     qword  ptr  [rsp+0x2c], 0x0\n4038ee  mov     dword  ptr  [rsp+0x34], 0x0\n4038f6  call    quotearg_n_options\n4038fb  mov     rdx, qword  ptr  [rsp+0x38]\n403909  jne     0x403915\n40390b  add     rsp, 0x48\n40390f  ret     \n403915  call    __stack_chk_fail\n,Name the following assembly function:\n403890  sub     rsp, 0x48\n403894  mov     rax, rdx\n403897  mov     rdx, rcx\n4038a3  mov     qword  ptr  [rsp+0x38], rcx\n4038a8  xor     ecx, ecx\n4038aa  cmp     esi, 0xa\n4038ad  je      0x403910\n403910  call    abort\n4038af  mov     dword  ptr  [rsp], esi\n4038b2  mov     rcx, rsp\n4038b5  mov     rsi, rax\n4038b8  mov     qword  ptr  [rsp+0x4], 0x0\n4038c1  mov     qword  ptr  [rsp+0xc], 0x0\n4038ca  mov     qword  ptr  [rsp+0x14], 0x0\n4038d3  mov     qword  ptr  [rsp+0x1c], 0x0\n4038dc  mov     qword  ptr  [rsp+0x24], 0x0\n4038e5  mov     qword  ptr  [rsp+0x2c], 0x0\n4038ee  mov     dword  ptr  [rsp+0x34], 0x0\n4038f6  call    quotearg_n_options\n4038fb  mov     rdx, qword  ptr  [rsp+0x38]\n403909  jne     0x403915\n40390b  add     rsp, 0x48\n40390f  ret     \n403915  call    __stack_chk_fail\n,\nquotearg_n_optionssub_40391a
,40391a  nop     word  ptr  [rax+rax]\n,Name the following assembly function:\n40391a  nop     word  ptr  [rax+rax]\n,\nNo Operation (NOP)quotearg_style
,403920  mov     rdx, rsi\n403923  mov     esi, edi\n403925  xor     edi, edi\n403927  jmp     quotearg_n_style\n,Name the following assembly function:\n403920  mov     rdx, rsi\n403923  mov     esi, edi\n403925  xor     edi, edi\n403927  jmp     quotearg_n_style\n,\nquotearg_n_style()sub_40392c
,40392c  nop     dword  ptr  [rax]\n,Name the following assembly function:\n40392c  nop     dword  ptr  [rax]\n,\nNo Operation (NOP)quotearg_style_mem
,403930  mov     rcx, rdx\n403933  mov     rdx, rsi\n403936  mov     esi, edi\n403938  xor     edi, edi\n40393a  jmp     quotearg_n_style_mem\n,Name the following assembly function:\n403930  mov     rcx, rdx\n403933  mov     rdx, rsi\n403936  mov     esi, edi\n403938  xor     edi, edi\n40393a  jmp     quotearg_n_style_mem\n,\nquotearg_n_style_mem functionsub_40393f
,40393f  nop     \n,Name the following assembly function:\n40393f  nop     \n,\nNOP (No Operation)quotearg_char_mem
,403940  sub     rsp, 0x48\n403944  mov     ecx, edx\n40394f  mov     qword  ptr  [rsp+0x38], rax\n403954  xor     eax, eax\n403956  mov     rax,  [0x607230]\n40395d  mov     r8, rsp\n403960  and     ecx, 0x1f\n403963  movdqa  xmm0,  [default_quoting_options]\n40396b  mov     qword  ptr  [rsp+0x30], rax\n403970  mov     eax, edx\n403972  movaps  xmmword  ptr  [rsp], xmm0\n403976  shr     al, 0x5\n403979  movzx   eax, al\n40397c  lea     r9,  [r8+rax*0x4+0x8]\n403981  movdqa  xmm0,  [0x607210]\n403989  movaps  xmmword  ptr  [rsp+0x10], xmm0\n40398e  movdqa  xmm0,  [0x607220]\n403996  movaps  xmmword  ptr  [rsp+0x20], xmm0\n40399b  mov     edx, dword  ptr  [r9]\n40399e  mov     eax, edx\n4039a0  shr     eax, cl\n4039a2  not     eax\n4039a4  and     eax, 0x1\n4039a7  shl     eax, cl\n4039a9  mov     rcx, r8\n4039ac  xor     eax, edx\n4039ae  mov     rdx, rsi\n4039b1  mov     rsi, rdi\n4039b4  mov     dword  ptr  [r9], eax\n4039b7  xor     edi, edi\n4039b9  call    quotearg_n_options\n4039be  mov     rsi, qword  ptr  [rsp+0x38]\n4039cc  jne     0x4039d3\n4039ce  add     rsp, 0x48\n4039d2  ret     \n4039d3  call    __stack_chk_fail\n,Name the following assembly function:\n403940  sub     rsp, 0x48\n403944  mov     ecx, edx\n40394f  mov     qword  ptr  [rsp+0x38], rax\n403954  xor     eax, eax\n403956  mov     rax,  [0x607230]\n40395d  mov     r8, rsp\n403960  and     ecx, 0x1f\n403963  movdqa  xmm0,  [default_quoting_options]\n40396b  mov     qword  ptr  [rsp+0x30], rax\n403970  mov     eax, edx\n403972  movaps  xmmword  ptr  [rsp], xmm0\n403976  shr     al, 0x5\n403979  movzx   eax, al\n40397c  lea     r9,  [r8+rax*0x4+0x8]\n403981  movdqa  xmm0,  [0x607210]\n403989  movaps  xmmword  ptr  [rsp+0x10], xmm0\n40398e  movdqa  xmm0,  [0x607220]\n403996  movaps  xmmword  ptr  [rsp+0x20], xmm0\n40399b  mov     edx, dword  ptr  [r9]\n40399e  mov     eax, edx\n4039a0  shr     eax, cl\n4039a2  not     eax\n4039a4  and     eax, 0x1\n4039a7  shl     eax, cl\n4039a9  mov     rcx, r8\n4039ac  xor     eax, edx\n4039ae  mov     rdx, rsi\n4039b1  mov     rsi, rdi\n4039b4  mov     dword  ptr  [r9], eax\n4039b7  xor     edi, edi\n4039b9  call    quotearg_n_options\n4039be  mov     rsi, qword  ptr  [rsp+0x38]\n4039cc  jne     0x4039d3\n4039ce  add     rsp, 0x48\n4039d2  ret     \n4039d3  call    __stack_chk_fail\n,\nquotearg_n_optionssub_4039d8
,4039d8  nop     dword  ptr  [rax+rax]\n,Name the following assembly function:\n4039d8  nop     dword  ptr  [rax+rax]\n,\nNo Operation (NOP)quotearg_char
,4039e0  movsx   edx, sil\n4039e4  mov     rsi, -0x1\n4039eb  jmp     quotearg_char_mem\n,Name the following assembly function:\n4039e0  movsx   edx, sil\n4039e4  mov     rsi, -0x1\n4039eb  jmp     quotearg_char_mem\n,\nquotearg_char_memquotearg_colon
,4039f0  mov     edx, 0x3a\n4039f5  mov     rsi, -0x1\n4039fc  jmp     quotearg_char_mem\n,Name the following assembly function:\n4039f0  mov     edx, 0x3a\n4039f5  mov     rsi, -0x1\n4039fc  jmp     quotearg_char_mem\n,\nquotearg_char_memsub_403a01
